Population,Incidence %u2013 ASR (World),Mortality %u2013 ASR (World),ÖÞ¼Ê
Austria,5.5,1.7,EUROPE
Spain,5.2,1.7,EUROPE
Israel,4.8,2.1,ASIA
Turkey,4.8,2.5,ASIA
Finland,4.7,0.9,EUROPE
Qatar,4,3.2,ASIA
Tunisia,4,2.8,AFRICA
Switzerland,3.8,1.1,EUROPE
Bahrain,3.8,2.7,ASIA
Malta,3.5,1.4,EUROPE
Syrian Arab Republic,3.5,2.7,ASIA
Kuwait,3.3,2.2,ASIA
Jordan,2.9,1.8,ASIA
Gaza Strip and West Bank,2.5,1.9,ASIA
Saudi Arabia,2.5,1.5,ASIA
Egypt,2.3,1.5,AFRICA
"Iran, Islamic Republic of",2.2,1.2,ASIA
Iraq,1.9,1.3,ASIA
Yemen,1.9,1.4,ASIA
